SampleID	Study_ID	Invasive_species	Organism	Family	Environment	Sample_type	Geographical_location
MPG13011.1	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.10	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.100	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.101	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.102	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.103	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.104	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.105	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.106	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.107	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.108	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.109	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.11	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.110	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.111	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.112	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.113	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.114	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.115	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.116	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.117	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.118	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.119	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.12	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.120	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.121	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.122	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.123	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.124	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.126	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.127	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.128	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.129	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.13	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.131	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.134	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Control	46.682 N 114.027 W
MPG13011.14	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.15	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.151	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.153	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.154	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.155	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.156	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.157	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.158	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.159	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.16	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.161	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.17	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.177	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.178	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.18	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.180	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.181	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.182	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.183	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.184	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.185	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.186	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.187	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.189	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.19	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.190	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.193	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.194	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.196	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.197	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.198	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.199	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.2	MPG13011	Centaurea stoebe	Plant	Asteraceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.20	MPG13011	Bromus tectorum	Plant	Poaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.200	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.201	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.202	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.203	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.204	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Invaded	46.682 N 114.027 W
MPG13011.205	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.206	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.207	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.208	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.209	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.21	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.210	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.211	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.212	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.213	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.214	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.218	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.22	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
MPG13011.220	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.221	MPG13011	Euphorbia esula	Plant	Euphorbiaceae	Soil	Control	46.682 N 114.027 W
MPG13011.23	MPG13011	Native	Plant	Community	Soil	Control	46.682 N 114.027 W
